Season,Player ID,Temp Player ID,Player,First Name,Last Name,Position,Body Fat %,Hand Length (in),Hand Width (in),Height without shoes (in),Height without shoes,Height with shoes (in),Height with shoes,Standing reach (in),Standing reach,Weight (lbs),Wingspan (in),Wingspan,Bench Press (reps),Lane Agility (sec),Max Vertical Leap (in),Modified Lane Agility (sec),Standing Vertical Leap (in),3/4 Court Sprint (sec),Spot-Up Coll 3 Left Wing Att,Spot-Up Coll 3 Left Wing Made,Spot-Up Coll 3 Left Wing %,Spot-Up Coll 3 Right Wing Att,Spot-Up Coll 3 Right Wing Made,Spot-Up Coll 3 Right Wing %,Spot-Up Coll 3 Left Corner Att,Spot-Up Coll 3 Left Corner Made,Spot-Up Coll 3 Left Corner %,Spot-Up Coll 3 Right Corner Att,Spot-Up Coll 3 Right Corner Made,Spot-Up Coll 3 Right Corner %,Spot-Up Coll 3 Top Att,Spot-Up Coll 3 Top Made,Spot-Up Coll 3 Top %,Spot-Up 15ft Left Wing Att,Spot-Up 15ft Left Wing Made,Spot-Up 15ft Left Wing %,Spot-Up 15ft Right Wing Att,Spot-Up 15ft Right Wing Made,Spot-Up 15ft Right Wing %,Spot-Up 15ft Left Corner Att,Spot-Up 15ft Left Corner Made,Spot-Up 15ft Left Corner %,Spot-Up 15ft Right Corner Att,Spot-Up 15ft Right Corner Made,Spot-Up 15ft Right Corner %,Spot-Up 15ft Top Att,Spot-Up 15ft Top Made,Spot-Up 15ft Top %,Spot-Up NBA 3 Left Wing Att,Spot-Up NBA 3 Left Wing Made,Spot-Up NBA 3 Left Wing %,Spot-Up NBA 3 Right Wing Att,Spot-Up NBA 3 Right Wing Made,Spot-Up NBA 3 Right Wing %,Spot-Up NBA 3 Left Corner Att,Spot-Up NBA 3 Left Corner Made,Spot-Up NBA 3 Left Corner %,Spot-Up NBA 3 Right Corner Att,Spot-Up NBA 3 Right Corner Made,Spot-Up NBA 3 Right Corner %,Spot-Up NBA 3 Top Att,Spot-Up NBA 3 Top Made,Spot-Up NBA 3 Top %,Off-Dribble Coll 3 Left Wing Att,Off-Dribble Coll 3 Left Wing Made,Off-Dribble Coll 3 Left Wing %,Off-Dribble Coll 3 Right Wing Att,Off-Dribble Coll 3 Right Wing Made,Off-Dribble Coll 3 Right Wing %,Off-Dribble Coll 3 Top Att,Off-Dribble Coll 3 Top Made,Off-Dribble Coll 3 Top %,Off-Dribble 15ft Left Wing Att,Off-Dribble 15ft Left Wing Made,Off-Dribble 15ft Left Wing %,Off-Dribble 15ft Right Wing Att,Off-Dribble 15ft Right Wing Made,Off-Dribble 15ft Right Wing %,Off-Dribble 15ft Top Att,Off-Dribble 15ft Top Made,Off-Dribble 15ft Top %,On-Move Coll 3 Att,On-Move Coll 3 Made,On-Move Coll 3 %,On-Move 15ft Att,On-Move 15ft Made,On-Move 15ft %
2026,1643635,1643635,Aaron Nkrumah,Aaron,Nkrumah,SG,,8.75,8.5,77,6' 5.00'',,,104,8' 8.00'',188.8,82.25,6' 10.25'',,11.18,35,2.48,28.5,3.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,1643530,1643530,Aday Mara,Aday,Mara,C,,9,9.5,87,7' 3.00'',,,117,9' 9.00'',259.8,90,7' 6.00'',,11.47,28,3.36,24,3.61,,,,,,,25,12,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,13,0.433,,,,,,,,,,,,,,,,25,16,0.64,,,
2026,1642284,1642284,Alex Karaban,Alex,Karaban,PF,,8.5,9.5,78.75,6' 6.75'',,,104.5,8' 8.50'',225.2,83,6' 11.00'',,11.19,33,3.01,28,3.28,,,,,,,25,17,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,21,0.7,,,,,,,,,,,,,,,,25,18,0.72,,,
2026,1643512,1643512,Allen Graves,Allen,Graves,PF,,9,9.5,79.75,6' 7.75'',,,106.5,8' 10.50'',225.6,84,7' 0.00'',,11.76,34,3.18,27.5,3.44,,,,,,,25,14,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,13,0.433,,,,,,,,,,,,,,,,25,14,0.56,,,
2026,1643533,1643533,Amari Allen,Amari,Allen,SF,,8.25,9.25,77.25,6' 5.25'',,,99.5,8' 3.50'',204.6,80,6' 8.00'',,10.72,42.5,2.94,34.5,3.19,,,,,,,25,13,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,20,0.667,,,,,,,,,,,,,,,,25,13,0.52,,,
2026,1642887,1642887,Andrej Stojakovic,Andrej,Stojakovic,SF,,8.5,10,77.5,6' 5.50'',,,100,8' 4.00'',206,80.25,6' 8.25'',,10.97,41.5,2.89,32,3.32,,,,,,,25,11,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,20,0.667,,,,,,,,,,,,,,,,25,9,0.36,,,
2026,1643407,1643407,Anicet Dybantsa,Anicet,Dybantsa,SF,,8.5,9,80.5,6' 8.50'',,,106,8' 10.00'',217,84.5,7' 0.50'',,11.06,42,2.99,33.5,3.14,,,,,,,25,14,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,23,0.767,,,,,,,,,,,,,,,,25,11,0.44,,,
2026,1642394,1642394,Baba Miller,Baba,Miller,PF,,9,10,82.5,6' 10.50'',,,111,9' 3.00'',208.2,85.75,7' 1.75'',,10.71,34.5,2.7,31.5,3.23,,,,,,,25,13,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,13,0.433,,,,,,,,,,,,,,,,25,13,0.52,,,
2026,1642892,1642892,Bennett Stirtz,Bennett,Stirtz,PG,,8.5,9.75,74.5,6' 2.50'',,,98.5,8' 2.50'',186.2,78,6' 6.00'',,11.25,37.5,2.91,30.5,3.17,,,,,,,25,20,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,22,0.733,,,,,,,,,,,,,,,,25,16,0.64,,,
2026,1643586,1643586,Billy Richmond III,Billy,Richmond III,SF,,9,9.25,77.75,6' 5.75'',,,101,8' 5.00'',195.4,80,6' 8.00'',,10.23,41,2.82,32.5,3.06,,,,,,,25,13,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,19,0.633,,,,,,,,,,,,,,,,25,17,0.68,,,
